ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,item_UPA,item_IPA,form_set,etym_notes,glossing_notes
108-139-1,,108,139,čuell’,čuell’,t ʃ u e lːʲ,,WOLD,,,,,,tʃuelːʲ,1,,
203-139-1,,203,139,suoli,suoli,s u o̞ l i,,JL,,,,,,suo̞li,1,,
204-139-1,,204,139,suoli,suoli,,,KKSV,,,,,,,1,,
207-139-1,,207,139,solʹ,solʹ,,,VVS,,,,,,,1,,
208-139-1,,208,139,sōli,sōli,s oː l i,,InkmSk,,,,,sōli,soːli,1,,
209-139-1,,209,139,sōli,sōli,s oː l i,,VKJMS,,,,,sōli,soːli,1,,
210-139-1,,210,139,sool,sool,s oː l,,SVSk,,,,,,soːl,1,,
211-139-1,,211,139,soolik,soolik,,,VESr,,,,,,,1,,
212-139-1,,212,139,sùolʹ,sùolʹ,,,LivWb,,,,,,,1,,
301-139-1,,301,139,śulo,śulo,ɕ u l o,,MordWb,,,,,śulo,ɕulo,1,,
401-139-1,,401,139,šolo,šolo,ʃ o l o,,SMSk;TscherWb,,,,,šolo,ʃolo,1,,
501-139-1,,501,139,śuv,śuv,ɕ u v,,SyrjWsch,,,,,śuv,ɕuv,1,,
503-139-1,,503,139,śu ~ śuv,śu ~ śuv,ɕ u,,KoPRSl,,,,,"śu, śuv","ɕu, ɕuv",1,,
504-139-1,,504,139,śul,śul,ɕ u l,,WotjWsch,,,,,śul,ɕul,1,,
807-139-1,,807,139,sol,sol,s o l,,DEWbOstj,,,,,sol,sol,1,,
204-139-2,,204,139,kiiška,kiiška,,,KKSV,,,,,,,2,,
207-139-2,,207,139,kišk,kišk,,,VVS,,,,,,,2,,
601-139-1,,601,139,bél,bél,b eː l,,FMSz,,,,,,beːl,3,,
701-139-1,,701,139,saχ,saχ,s ɑ x,,WogWb,,,,,saχ,sɑx,4,,
902-139-1,,902,139,yedyo,yedyo,,,JurSWb,,,,,,,5,,
907-139-1,,907,139,ketu,ketu,k e t u,,SolkWb,,,,,ketu,ketu,5,,
101-139-1,,101,139,sysngelasjh,sysngelasjh,,,NSsNdb,,,,,,,6,,
503-139-2,,503,139,kiška,kiška,k i ʃ k ɑ,,KoPRSl,,,,,kiška,kiʃkɑ,2,,
0-14-1,,0,14,"*min-, *mun-",*min-,,,UEW;Sam88,,,,,,,1,,
0-14-2,,0,14,"*min-, *mun-",*mun-,,,UEW;Sam88,,,,,,,1,,
101-14-1,,101,14,manne,manne,,,NSsNdb,,,,,,,1,,
102-14-1,,102,14,månna,månna,,,WbWlap,,,,,,,1,,
104-14-1,,104,14,mån/iv/-iv,mån,,,EZ,,,,,,,1,,
104-14-2,,104,14,mån/iv/-iv,iv,,,EZ,,,,,,,1,,
104-14-3,,104,14,mån/iv/-iv,-iv,,,EZ,,,,,,,1,,
105-14-1,,105,14,mun,mun,,,SSSg,,,,,,,1,,
106-14-1,,106,14,mun,mun,,,InsSSk,,,,,,,1,,
107-14-1,,107,14,mon,mon,,,SKosSk,,,,,,,1,,
108-14-1,,108,14,munn,munn,m u nː,,WOLD,,,,,,munː,1,,
203-14-1,,203,14,minä,minä,m i n æ,,JL,,,,,,minæ,1,,
204-14-1,,204,14,mie,mie,,"In Olonets Karelian (Livvi), ""minä""",KKSV,,,,,,,1,,
207-14-1,,207,14,mińa ~ mä,mińa ~ mä,,,VVS,,,,,,,1,,
208-14-1,,208,14,miä,miä,m i æ,,InkmSk,,,,,miä,miæ,1,,
209-14-1,,209,14,miä,miä,m i æ,,VKJMS,,,,,miä,miæ,1,,
210-14-1,,210,14,mina ~ ma,mina ~ ma,m i n ɑ ~ m ɑ,,SVSk,,,,,,minɑ ~ mɑ,1,,
211-14-1,,211,14,"maq, mina, minno",maq,,,VESr,,,,,,,1,,
211-14-2,,211,14,"maq, mina, minno",mina,,,VESr,,,,,,,1,,
211-14-3,,211,14,"maq, mina, minno",minno,,,VESr,,,,,,,1,,
212-14-1,,212,14,ma,ma,,,LivWb,,,,,,,1,,
301-14-1,,301,14,mon,mon,m o n,,MordWb,,,,,mon,mon,1,,
401-14-1,,401,14,mə̑j,mə̑j,m ə j,,SMSk;TscherWb,,,,,mə̑j,məj,1,,
501-14-1,,501,14,me,me,m e,,SyrjWsch,,,,,me,me,1,,
503-14-1,,503,14,me,me,m e,"Stem ""men-""",KoPRSl,,,,,me,me,1,,
504-14-1,,504,14,mon,mon,m o n,,WotjWsch,,,,,mon,mon,1,,
601-14-1,,601,14,én,én,eː n,,FMSz,,,,,,eːn,1,Early Ug *mänɜ > ämnɜ?,
701-14-1,,701,14,am,am,ɑ m,,WogWb,,,,,am,ɑm,1,Early Ug *mänɜ > ämnɜ?,
807-14-1,,807,14,mä,mä,m æ,,DEWbOstj,,,,,mä,mæ,1,,
901-14-1,,901,14,mənə,mənə,m ə n ə,,SlNgaRus,,,,,mənə,mənə,1,,
902-14-1,,902,14,məny°,məny°,,,JurSWb,,,,,,,1,,
907-14-1,,907,14,man,man,m ɑ n,,SolkWb,,,,,man,mɑn,1,,
0-140-1,,0,140,*päŋi,*päŋi,,,UEW;Sam88,,,,,,,1,,
203-140-1,,203,140,pää,pää,p æː,,JL,,,,,,pæː,1,,
204-140-1,,204,140,peä,peä,,,KKSV,,,,,,,1,,
207-140-1,,207,140,pä,pä,,,VVS,,,,,,,1,,
208-140-1,,208,140,pǟ,pǟ,p æː,,InkmSk,,,,,pǟ,pæː,1,,
209-140-1,,209,140,pǟ,pǟ,p æː,,VKJMS,,,,,pǟ,pæː,1,,
210-140-1,,210,140,pea,pea,p e ɑ,,SVSk,,,,,,peɑ,1,,
211-140-1,,211,140,pää,pää,,,VESr,,,,,,,1,,
212-140-1,,212,140,pǟ,pǟ,,,LivWb,,,,,,,1,,
601-140-1,,601,140,"fej, fő",fej,f ɛ j f øː,,FMSz,,,,,,"fɛj, føː",1,,
601-140-2,,601,140,"fej, fő",fő,f ɛ j f øː,,FMSz,,,,,,"fɛj, føː",1,,
701-140-1,,701,140,puŋk,puŋk,p u ŋ k,,WogWb,,,,,puŋk,puŋk,1,,
0-140-2,,0,140,*ojwa,*ojwa,,,UEW;Sam88,,,,,,,2,,
101-140-1,,101,140,åejjie,åejjie,,,NSsNdb,,,,,,,2,,
102-140-1,,102,140,å̀ivee,å̀ivee,,,WbWlap,,,,,,,2,,
104-140-1,,104,140,åjjve,åjjve,,,EZ,,,,,,,2,,
105-140-1,,105,140,oaivi,oaivi,,,SSSg,,,,,,,2,,
106-140-1,,106,140,oai'vi,oai'vi,,,InsSSk,,,,,,,2,,
107-140-1,,107,140,vueiʹvv,vueiʹvv,,,SKosSk,,,,,,,2,,
108-140-1,,108,140,vuejjv,vuejjv,v u e jː v,,WOLD,,,,,,vuejːv,2,,
401-140-1,,401,140,βuj,βuj,β u j,,SMSk;TscherWb,,,,,βuj,βuj,2,,
901-140-1,,901,140,ŋojbu,ŋojbu,ŋ o j b u,,SlNgaRus,,,,,ŋojbu,ŋojbu,2,,
902-140-1,,902,140,ŋæwa,ŋæwa,,,JurSWb,,,,,,,2,,
301-140-1,,301,140,pŕa,pŕa,p rʲ ɑ,,MordWb,,,,,pŕa,prʲɑ,3,Semantic development from earlier 'rear end' > ('either end' >) 'front end = head',
501-140-1,,501,140,jur,jur,j u r,,SyrjWsch,,,,,jur,jur,4,,
503-140-1,,503,140,jur,jur,j u r,,KoPRSl,,,,,jur,jur,4,,
504-140-1,,504,140,ji̮r,ji̮r,j ɯ r,,WotjWsch,,,,,ji̮r,jɯr,4,,
807-140-1,,807,140,oɣ,oɣ,o ɣ,,DEWbOstj,,,,,oɣ,oɣ,5,,
907-140-1,,907,140,olə,olə,o l ə,,SolkWb,,,,,olə,olə,6,,
0-141-1,,0,141,*śüδä-m-,*śüδä-m-,,,UEW;Sam88,,,,,,,1,,
107-141-1,,107,141,čââʹđ,čââʹđ,,,SKosSk,,,,,,,1,,
203-141-1,,203,141,sydän,sydän,s y d æ n,,JL,,,,,,sydæn,1,,
204-141-1,,204,141,seän,seän,,,KKSV,,,,,,,1,,
207-141-1,,207,141,südʹäin,südʹäin,,,VVS,,,,,,,1,,
208-141-1,,208,141,süän,süän,s y æ n,,InkmSk,,,,,süän,syæn,1,,
209-141-1,,209,141,süä,süä,s y æ,,VKJMS,,,,,süä,syæ,1,,
210-141-1,,210,141,süda,süda,s y d ɑ,,SVSk,,,,,,sydɑ,1,,
211-141-1,,211,141,süä,süä,,,VESr,,,,,,,1,,
212-141-1,,212,141,sidàm ~ südàm,sidàm ~ südàm,,,LivWb,,,,,,,1,,
301-141-1,,301,141,śedʹej,śedʹej,ɕ e dʲ e j,,MordWb,,,,,śedʹej,ɕedʲej,1,,
401-141-1,,401,141,šüm,šüm,ʃ y m,,SMSk;TscherWb,,,,,šüm,ʃym,1,,
501-141-1,,501,141,śe̮le̮m,śe̮le̮m,ɕ ɤ l ɤ m,,SyrjWsch,,,,,śe̮le̮m,ɕɤlɤm,1,,
503-141-1,,503,141,śe̮le̮m,śe̮le̮m,ɕ ɤ l ɤ m,,KoPRSl,,,,,śe̮le̮m,ɕɤlɤm,1,,
504-141-1,,504,141,śulem,śulem,ɕ u l e m,,WotjWsch,,,,,śulem,ɕulem,1,,
601-141-1,,601,141,szív,szív,s iː v,,FMSz,,,,,,siːv,1,,
701-141-1,,701,141,sim,sim,s i m,,WogWb,,,,,sim,sim,1,,
807-141-1,,807,141,səm,səm,s ə m,,DEWbOstj,,,,,səm,səm,1,,
901-141-1,,901,141,sə̄,sə̄,s əː,,SlNgaRus,,,,,sə̄,səː,1,,
902-141-1,,902,141,syey°,syey°,,,JurSWb,,,,,,,1,,
907-141-1,,907,141,sīćə,sīćə,s iː tɕ ə,,SolkWb,,,,,sīćə,siːtɕə,1,Deriv. from PU *śüδä?,
101-141-1,,101,141,vaajmoe,vaajmoe,,,NSsNdb,,,,,,,2,,
102-141-1,,102,141,vàibmoo,vàibmoo,,,WbWlap,,,,,,,2,,
104-141-1,,104,141,vájbmo,vájbmo,,,EZ,,,,,,,2,,
105-141-1,,105,141,váibmu,váibmu,,,SSSg,,,,,,,2,,
106-141-1,,106,141,váimu,váimu,,,InsSSk,,,,,,,2,,
108-141-1,,108,141,sārr’t,sārr’t,s aː rːʲ t,,WOLD,,,,,,saːrːʲt,3,,
108-141-2,,108,141,kūtt’k,kūtt’k,k uː tːʲ k,,WOLD,,,,,,kuːtːʲk,4,,
0-142-1,,0,142,*tä-(kä),*tä-,,Possibly an inflected form of a pronominal stem used in this meaning; cannot be reconstructed,UEW;Sam88,,,,,,,1,,
101-142-1,,101,142,"daagkoe, daebpene",daagkoe,,,NSsNdb,,,,,,,1,,
101-142-2,,101,142,"daagkoe, daebpene",daebpene,,,NSsNdb,,,,,,,1,,
102-142-1,,102,142,dàdnee,dàdnee,,,WbWlap,,,,,,,1,,
104-142-1,,104,142,"dán, dáppen, dánne, däiigo, däggu",dán,,,EZ,,,,,,,1,,
104-142-2,,104,142,"dán, dáppen, dánne, däiigo, däggu",dáppen,,,EZ,,,,,,,1,,
104-142-3,,104,142,"dán, dáppen, dánne, däiigo, däggu",dánne,,,EZ,,,,,,,1,,
104-142-4,,104,142,"dán, dáppen, dánne, däiigo, däggu",däiigo,,,EZ,,,,,,,1,,
104-142-5,,104,142,"dán, dáppen, dánne, däiigo, däggu",däggu,,,EZ,,,,,,,1,,
105-142-1,,105,142,"dáppe, dá",dáppe,,,SSSg,,,,,,,1,,
105-142-2,,105,142,"dáppe, dá",dá,,,SSSg,,,,,,,1,,
106-142-1,,106,142,tääbbin,tääbbin,,,InsSSk,,,,,,,1,,
107-142-1,,107,142,tääiʹb(en),tääiʹb,,,SKosSk,,,,,,,1,,
108-142-1,,108,142,tes’t,tes’t,t e sʲ t,,WOLD,,,,,,tesʲt,1,,
203-142-1,,203,142,täällä,täällä,t̪ æː lː æ,,JL,,,,,,t̪æːlːæ,1,,
203-142-2,,203,142,tässä,tässä,t̪ æ sː æ,,JL,,,,,,t̪æsːæ,1,,
204-142-1,,204,142,teällä,teällä,,,KKSV,,,,,,,1,,
207-142-1,,207,142,tägä,tägä,,,VVS,,,,,,,1,,
207-142-2,,207,142,täs,täs,,,VVS,,,,,,,1,,
209-142-1,,209,142,tǟl,tǟl,t æː l,,VKJMS,,,,,tǟl,tæːl,1,,
212-142-1,,212,142,"täs, täsà",täs,,,LivWb,,,,,,,1,,
212-142-2,,212,142,"täs, täsà",täsà,,,LivWb,,,,,,,1,,
301-142-1,,301,142,tʹese,tʹese,tʲ e s e,,MordWb,,,,,tʹese,tʲese,1,,
401-142-1,,401,142,tə̑šte,tə̑šte,t ə ʃ t e,,SMSk;TscherWb,,,,,tə̑šte,təʃte,1,,
501-142-1,,501,142,"tan ~ tani, tate̮n",tan ~ tani,t ɑ n,,SyrjWsch,,,,,"tan, tani, tate̮n","tɑn, tɑni, tɑtɤn",1,,
501-142-2,,501,142,"tan ~ tani, tate̮n",tate̮n,t ɑ t ɤ n,,SyrjWsch,,,,,"tan, tani, tate̮n",tɑtɤn,1,,
503-142-1,,503,142,tate̮n,tate̮n,t ɑ t ɤ n,,KoPRSl,,,,,tate̮n,tɑtɤn,1,,
504-142-1,,504,142,tati̮n,tati̮n,t ɑ t ɯ n,,WotjWsch,,,,,tati̮n,tɑtɯn,1,,
701-142-1,,701,142,tit,tit,t i t,,WogWb,,,,,tit,tit,1,,
807-142-1,,807,142,tət,tət,t ə t,,DEWbOstj,,,,,tət,tət,1,,
907-142-1,,907,142,tintə ~ ti̮ntə,tintə ~ ti̮ntə,t i n t ə,,SolkWb,,,,,"tintə, ti̮ntə","tintə, tɯntə",1,,
208-142-1,,208,142,sīn,sīn,s iː n,,InkmSk,,,,,sīn,siːn,2,,
210-142-1,,210,142,siin,siin,s iː n,,SVSk,,,,,,siːn,2,,
211-142-1,,211,142,siin ~ siihn,siin ~ siihn,,,VESr,,,,,,,2,,
212-142-3,,212,142,"sīn, sīd etc.",sīn,,,LivWb,,,,,,,2,,
212-142-4,,212,142,"sīn, sīd etc.",sīd etc.,,,LivWb,,,,,,,2,,
501-142-3,,501,142,etan ~ etani,etan ~ etani,e t ɑ n,"Comp. with ""tan"" ~ ""tani"" (also 'here' by itself)",SyrjWsch,,,,,"etan, etani","etɑn, etɑni",3,,
503-142-2,,503,142,este̮n,este̮n,e s t ɤ n,,KoPRSl,,,,,este̮n,estɤn,3,,
601-142-1,,601,142,itt,itt,i tː,,FMSz,,,,,,itː,3,,
902-142-1,,902,142,tyukoxəna,tyukoxəna,,,JurSWb,,,,,,,4,,
209-142-2,,209,142,kassen,kassen,k ɑ sː e n,,VKJMS,,,,,kassen,kɑsːen,5,,
901-142-1,,901,142,"əmni̮, əmədʹa",əmni̮,ə m n ɯ,,SlNgaRus,,,,,"əmni̮, əmədʹa",əmnɯ,6,,
901-142-2,,901,142,"əmni̮, əmədʹa",əmədʹa,ə m ə dʲ ɑ,,SlNgaRus,,,,,"əmni̮, əmədʹa",əmədʲɑ,6,,
901-142-3,,901,142,miˀia,miˀia,m i ʔ i ɑ,,SlNgaRus,,,,,miˀia,miʔiɑ,7,,
0-143-1,,0,143,[Not reconstructable],,,PFU: *pitä-,UEW;Sam88,,,,,,,?,[Not reconstructable],
203-143-1,,203,143,pitää,pitää,p i t̪ æː,,JL,,,,,,pit̪æː,1,,
204-143-1,,204,143,piteä,piteä,,,KKSV,,,,,,,1,,
207-143-1,,207,143,pidʹada,pidʹada,,,VVS,,,,,,,1,,
208-143-1,,208,143,pit̆tǟ,pit̆tǟ,p i t ̆ t æː,,InkmSk,,,,,pit̆tǟ,pit̆tæː,1,,
209-143-1,,209,143,pitämä,pitämä,p i t æ m æ,,VKJMS,,,,,pitämä,pitæmæ,1,,
212-143-1,,212,143,piʾddə,piʾddə,,,LivWb,,,,,,,1,,
210-143-1,,210,143,hoida,hoida,h o i t ɑ,,SVSk,,,,,,hoitɑ,2,,
211-143-1,,211,143,hoitma,hoitma,,,VESr,,,,,,,2,,
105-143-1,,105,143,doallat,doallat,,,SSSg,,,,,,,3,,
106-143-1,,106,143,toollađ,toollađ,,,InsSSk,,,,,,,3,,
107-143-1,,107,143,tuõʹlˈl’jed,tuõʹlˈl’jed,,,SKosSk,,,,,,,3,,
101-143-1,,101,143,"utniedidh, utniehtidh",utniedidh,,,NSsNdb,,,,,,,4,,
101-143-2,,101,143,"utniedidh, utniehtidh",utniehtidh,,,NSsNdb,,,,,,,4,,
102-143-1,,102,143,adnèhtit,adnèhtit,,,WbWlap,,,,,,,4,,
104-143-1,,104,143,anedit,anedit,,,EZ,,,,,,,4,,
106-143-2,,106,143,anneeđ,anneeđ,,,InsSSk,,,,,,,4,,
108-143-1,,108,143,oann’e,oann’e,ɒː nːʲ e,,WOLD,,,,,,ɒːnːʲe,4,,
301-143-1,,301,143,kiŕdʹems,kiŕdʹems,k i rʲ dʲ e m s,,MordWb,,,,,kiŕdʹems,kirʲdʲems,5,"From PFV *kärte- 'suffer, hold'",
401-143-1,,401,143,kučem,kučem,k u tʃ e m,,SMSk;TscherWb,,,,,kučem,kutʃem,6,"Cogn. with NSa ""goaccâ-"" 'hold back, restrain'",
501-143-1,,501,143,viʒ́ni̮,viʒ́ni̮,v i dʑ n ɯ,,SyrjWsch,,,,,viʒ́ni̮,vidʑnɯ,7,,
503-143-1,,503,143,viʒ́ni̮,viʒ́ni̮,v i dʑ n ɯ,,KoPRSl,,,,,viʒ́ni̮,vidʑnɯ,7,,
504-143-1,,504,143,voźi̮ni̮,voźi̮ni̮,v o ʑ ɯ n ɯ,,WotjWsch,,,,,voźi̮ni̮,voʑɯnɯ,7,,
601-143-1,,601,143,tart,tart,t ɒ r t,,FMSz,,,,,,tɒrt,8,,
601-143-2,,601,143,fog,fog,f o ɡ,,FMSz,,,,,,foɡ,9,,
701-143-1,,701,143,takti,takti,t ɑ k t i,,WogWb,,,,,takti,tɑkti,10,,
807-143-1,,807,143,kätl-,kätl-,k æ t l,,DEWbOstj,,,,,kätl-,kætl-,11,,"'Hold, catch'"
902-143-1,,902,143,nyəqm°bə° ~ nyəqmibə°,nyəqm°bə° ~ nyəqmibə°,,,JurSWb,,,,,,,12,,
907-143-1,,907,143,oralpi-,oralpi-,o r ɑ l p i,"Deriv. from ""or-"" 'grab'",SolkWb,,,,,oralpi-,orɑlpi-,13,,
501-143-2,,501,143,kutni̮,kutni̮,k u t n ɯ,,SyrjWsch,,,,,kutni̮,kutnɯ,14,,
101-143-3,,101,143,steeredh,steeredh,,,NSsNdb,,,,,,,15,,
901-143-1,,901,143,kəmiasa,kəmiasa,k ə m i ɑ s ɑ,,SlNgaRus,,,,,kəmiasa,kəmiɑsɑ,16,,"'Hold, catch'"
0-144-1,,0,144,[Not reconstructable],,,Possibly an inflected form of a pronominal stem (*ku- ?) used in this meaning; cannot be reconstructed,UEW;Sam88,,,,,,,?,[Not reconstructable],
102-144-1,,102,144,maktè,maktè,,,WbWlap,,,,,,,1,,
104-144-1,,104,144,"mákkar, maktes",mákkar,,,EZ,,,,,,,1,,
104-144-2,,104,144,"mákkar, maktes",maktes,,,EZ,,,,,,,1,,
105-144-1,,105,144,mō,mō,,,SSSg,,,,,,,1,,
106-144-1,,106,144,maht ~ mahte,maht ~ mahte,,,InsSSk,,,,,,,1,,
107-144-1,,107,144,mäʹhtt,mäʹhtt,,,SKosSk,,,,,,,1,,
203-144-1,,203,144,miten,miten,m i t̪ e̞ n,,JL,,,,,,mit̪e̞n,1,,
204-144-1,,204,144,milleh,milleh,,,KKSV,,,,,,,1,,
204-144-2,,204,144,miten,miten,,,KKSV,,,,,,,1,,
207-144-1,,207,144,mit,mit,,,VVS,,,,,,,1,,
209-144-1,,209,144,mi,mi,m i,,VKJMS,,,,,mi,mi,1,,
212-144-1,,212,144,"mis, mià",mis,,,LivWb,,,,,,,1,,
212-144-2,,212,144,"mis, mià",mià,,,LivWb,,,,,,,1,,
401-144-1,,401,144,mo semə̑n,mo semə̑n,m o s e m ə n,,SMSk;TscherWb,,,,,mo_semə̑n,mo semən,1,,
101-144-1,,101,144,guktie,guktie,,,NSsNdb,,,,,,,2,,
104-144-3,,104,144,gukte,gukte,,,EZ,,,,,,,2,,
105-144-2,,105,144,govt,govt,,,SSSg,,,,,,,2,,
108-144-1,,108,144,kōxxt,kōxxt,k oː xː t,,WOLD,,,,,,koːxːt,2,,
203-144-2,,203,144,kuinka,kuinka,k u i ŋ k ɑ,,JL,,,,,,kuiŋkɑ,2,,
204-144-3,,204,144,kuin,kuin,,,KKSV,,,,,,,2,,
207-144-2,,207,144,kut,kut,,,VVS,,,,,,,2,,
208-144-1,,208,144,kuin,kuin,k u i n,,InkmSk,,,,,kuin,kuin,2,,
209-144-2,,209,144,kui,kui,k u i,,VKJMS,,,,,kui,kui,2,,
210-144-1,,210,144,"kui, kuidas",kui,k u i k u i t ɑ s,,SVSk,,,,,,"kui, kuitɑs",2,,
210-144-2,,210,144,"kui, kuidas",kuidas,k u i k u i t ɑ s,,SVSk,,,,,,"kui, kuitɑs",2,,
211-144-1,,211,144,kui ~ kuis,kui ~ kuis,,,VESr,,,,,,,2,,
212-144-3,,212,144,ku(i),ku,,,LivWb,,,,,,,2,,
301-144-1,,301,144,koda,koda,k o d ɑ,,MordWb,,,,,koda,kodɑ,2,,
401-144-2,,401,144,kuze,kuze,k u z e,,SMSk;TscherWb,,,,,kuze,kuze,2,,
501-144-1,,501,144,ki̮ʒ́ ~ ki̮ʒ́i,ki̮ʒ́ ~ ki̮ʒ́i,k ɯ dʑ,,SyrjWsch,,,,,"ki̮ʒ́, ki̮ʒ́i","kɯdʑ, kɯdʑi",2,,
503-144-1,,503,144,ki̮ʒ́,ki̮ʒ́,k ɯ dʑ,,KoPRSl,,,,,ki̮ʒ́,kɯdʑ,2,,
504-144-1,,504,144,ki̮źi̮,ki̮źi̮,k ɯ ʑ ɯ,,WotjWsch,,,,,ki̮źi̮,kɯʑɯ,2,,
601-144-1,,601,144,"hogy, hogyan",hogy,h o ɟ h o ɟ ɒ n,,FMSz,,,,,,"hoɟ, hoɟɒn",2,,
601-144-2,,601,144,"hogy, hogyan",hogyan,h o ɟ h o ɟ ɒ n,,FMSz,,,,,,"hoɟ, hoɟɒn",2,,
701-144-1,,701,144,χumlʹe,χumlʹe,x u m ʎ e,,WogWb,,,,,χumlʹe,xumʎe,2,,
807-144-1,,807,144,kŏti̮,kŏti̮,k o ̆ t ɯ,,DEWbOstj,,,,,kŏti̮,kŏtɯ,2,,
901-144-1,,901,144,kuńiˀia,kuńiˀia,k u ɲ i ʔ i ɑ,,SlNgaRus,,,,,kuńiˀia,kuɲiʔiɑ,2,,
902-144-1,,902,144,xən-cyer°q,xən-cyer°q,,,JurSWb,,,,,,,2,,
907-144-1,,907,144,kun tār,kun tār,k u n t ɑː r,,SolkWb,,,,,kun_tār,kun tɑːr,2,,
401-144-3,,401,144,mo semə̑n,mo semə̑n,m o s e m ə n,,SMSk;TscherWb,,,,,mo_semə̑n,mo semən,3,"""Mo"" 'what'; latter part from ""sem"" 'tone, mode, manner', loan from Chuv",
203-145-1,,203,145,(avio)mies,mies,ɑ ʋ i o̞ m i e̞ s,,JL,,,,,,(ɑʋio̞)mie̞s,1,,"Compound of ""avio"" 'marriage' and ""mies"" 'man'; also just “mies”"
204-145-1,,204,145,mies,mies,,,KKSV,,,,,,,1,,
208-145-1,,208,145,mēz,mēz,m eː z,,InkmSk,,,,,mēz,meːz,1,,
209-145-1,,209,145,mēᴢ,mēᴢ,m eː z̥,,VKJMS,,,,,mēᴢ,meːz̥,1,,
210-145-1,,210,145,mees,mees,m eː s,,SVSk,,,,,,meːs,1,,"'Man, husband'"
211-145-1,,211,145,miis,miis,,,SI,,,,,,,1,,
212-145-1,,212,145,(naìz-)mìez,mìez,,,LivWb,,,,,,,1,,"Comp.; literally 'woman-man', ie. 'man having a wife'"
207-145-1,,207,145,mužik,mužik,,,VVS,,,,,,,2,"Cf. Rus ""muž"" 'man, husband', deriv. ""mužik""",
105-145-1,,105,145,isit,isit,,,SSSg,,,,,,,3,"Cf. Finnish ""isäntä"" 'man of the house, host'",
102-145-1,,102,145,kràdˈna,kràdˈna,,,WbWlap,,,,,,,4,"Cf. Sw ""granne"" 'neighbour'",
107-145-1,,107,145,kuõjj,kuõjj,,,SKosSk,,,,,,,5,,
108-145-1,,108,145,kūjj,kūjj,k uː jː,,WOLD,,,,,,kuːjː,5,,
301-145-1,,301,145,miŕdʹe,miŕdʹe,m i rʲ dʲ e,,MordWb,,,,,miŕdʹe,mirʲdʲe,6,,
401-145-1,,401,145,marij,marij,m ɑ r i j,,SMSk;TscherWb,,,,,marij,mɑrij,7,,Also 'Mari person'
501-145-1,,501,145,vere̮s,vere̮s,v e r ɤ s,Not in dialect of Sysola?,SyrjWsch,,,,,vere̮s,verɤs,8,"Cogn. with Fin ""orja"" 'slave'",
504-145-1,,504,145,kart,kart,k ɑ r t,,WotjWsch,,,,,kart,kɑrt,9,,
601-145-1,,601,145,férj,férj,f eː r ʝ,,FMSz,,,,,,feːrʝ,10,"Old compound; PFU *poji̮ 'son', latter part from PFU *ürkä 'son, boy'",
0-145-1,,0,145,*koje(-mV) ?,*koje ?,,,UEW;Sam88,,,,,,,11,,"'Man, person'; used in meaning of 'husband' in principal branches"
701-145-1,,701,145,χum,χum,x u m,,WogWb,,,,,χum,xum,11,"From PU deriv. *koji̮-mV 'man, person'",
807-145-1,,807,145,ku,ku,k u,,DEWbOstj,,,,,ku,ku,11,,
901-145-1,,901,145,kuədʹumu,kuədʹumu,k u ə dʲ u m u,,SlNgaRus,,,,,kuədʹumu,kuədʲumu,11,,"'Man, husband'"
503-145-1,,503,145,ajka,ajka,ɑ j k ɑ,,KoPRSl,,,,,ajka,ɑjkɑ,12,,
902-145-1,,902,145,xasawa,xasawa,,,JurSWb,,,,,,,13,,
907-145-1,,907,145,tipi,tipi,t i p i,,SolkWb,,,,,tipi,tipi,14,,
101-145-1,,101,145,"geelle, gaalla",geelle,,,NSsNdb,,,,,,,15,,
101-145-2,,101,145,"geelle, gaalla",gaalla,,,NSsNdb,,,,,,,15,,
102-145-2,,102,145,gàllès,gàllès,,,WbWlap,,,,,,,15,,
106-145-1,,106,145,käälis,käälis,,,InsSSk,,,,,,,15,,
211-145-2,,211,145,ülä,ülä,,,VESr,,,,,,,16,,
503-145-2,,503,145,že̮nik,že̮nik,ʒ ɤ n i k,,KoPRSl,,,,,že̮nik,ʒɤnik,17,,
503-145-3,,503,145,mužik,mužik,m u ʒ i k,,KoPRSl,,,,,mužik,muʒik,2,"Cf. Rus ""muž"" 'man, husband', deriv. ""mužik""",
701-145-2,,701,145,ōjka,ōjka,oː j k ɑ,,WogWb,,,,,ōjka,oːjkɑ,12,,
104-145-1,,104,145,båddnje,båddnje,,,EZ,,,,,,,18,,
901-145-2,,901,145,bəbə čərə,bəbə čərə,b ə b ə tʃ ə r ə,,SlNgaRus,,,,,bəbə_čərə,bəbə tʃərə,19,,Lit. 'bed contents'
807-146-1,,807,146,[No equivalent],,,No freestanding word in general use,DEWbOstj,,,,,,,0,[No equivalent],
902-146-1,,902,146,[No equivalent],,,Conditional constructions employ subordinative verb forms,JurSWb,,,,,,,0,[No equivalent],
0-146-1,,0,146,[Not reconstructable],,,,UEW;Sam88,,,,,,,?,[Not reconstructable],
901-146-1,,901,146,[Form not found],,,,SlNgaRus,,,,,,,?,[Form not found],
101-146-1,,101,146,jus ~ jis,jus ~ jis,,,NSsNdb,,,,,,,1,,
102-146-1,,102,146,jus ~ jüs etc.,jus ~ jüs etc.,,,WbWlap,,,,,,,1,,
104-146-1,,104,146,jus,jus,,,EZ,,,,,,,1,,
