ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,item_UPA,item_IPA,form_set,etym_notes,glossing_notes
208-102-3,,208,102,"kai, kaiɢ, kaiɢin",kaiɢin,k ɑ i ɡ̥ i n,,InkmSk,,,,,"kai, kaiɢ, kaiɢin",kɑiɡ̥in,1,,
209-102-1,,209,102,ke̮iɢ ~ ke̮ik,ke̮iɢ ~ ke̮ik,k ɤ i ɡ̥,,VKJMS,,,,,"ke̮iɢ, ke̮ik","kɤiɡ̥, kɤik",1,,
210-102-1,,210,102,kõik,kõik,k ɤ i k,,SVSk,,,,,,kɤik,1,,
211-102-1,,211,102,kõik',kõik',,,VESr,,,,,,,1,,
212-102-1,,212,102,amà,amà,,,LivWb,,,,,,,2,,
105-102-1,,105,102,buot,buot,,,SSSg,,,,,,,3,,
106-102-1,,106,102,puoh,puoh,,,InsSSk,,,,,,,3,,
107-102-1,,107,102,puk,puk,,,SKosSk,,,,,,,3,,
108-102-1,,108,102,pugk,pugk,p u gː,,WOLD,,,,,,pugː,3,,
401-102-1,,401,102,čə̑la,čə̑la,tʃ ə l ɑ,,SMSk;TscherWb,,,,,čə̑la,tʃəlɑ,4,,
301-102-1,,301,102,veśe,veśe,v e ɕ e,,MordWb,,,,,veśe,veɕe,5,From PU *we(ń)ćV?,
601-102-1,,601,102,összes,összes,ø sː ɛ ʃ,,FMSz,,,,,,øsːɛʃ,5,From PU *we(ń)ćV?,
901-102-1,,901,102,"bənsə, bəńdʹikā",bənsə,b ə n s ə,Latter deriv.; from PU *we(ń)ćV?,SlNgaRus,,,,,"bənsə, bəńdʹikā",bənsə,5,,
901-102-2,,901,102,"bənsə, bəńdʹikā",bəńdʹikā,b ə ɲ dʲ i k ɑː,Latter deriv.; from PU *we(ń)ćV?,SlNgaRus,,,,,"bənsə, bəńdʹikā",bəɲdʲikɑː,5,,
902-102-1,,902,102,mal°h,mal°h,,,JurSWb,,,,,,,6,"Deriv. from ""mal°"" 'end, top'",
501-102-1,,501,102,"bi̮d, bi̮de̮n",bi̮d,b ɯ d,,SyrjWsch,,,,,"bi̮d, bi̮de̮n",bɯd,7,,Latter form used with animate referents
501-102-2,,501,102,"bi̮d, bi̮de̮n",bi̮de̮n,b ɯ d ɤ n,,SyrjWsch,,,,,"bi̮d, bi̮de̮n",bɯdɤn,7,,Latter form used with animate referents
503-102-1,,503,102,bi̮de̮s,bi̮de̮s,b ɯ d ɤ s,,KoPRSl,,,,,bi̮de̮s,bɯdɤs,7,,
601-102-2,,601,102,"mind, minden",mind,m i n d m i n d ɛ n,,FMSz,,,,,,"mind, mindɛn",8,,
601-102-3,,601,102,"mind, minden",minden,m i n d m i n d ɛ n,,FMSz,,,,,,"mind, mindɛn",8,,
701-102-1,,701,102,sōχ,sōχ,s oː x,,WogWb,,,,,sōχ,soːx,9,,
807-102-1,,807,102,əj-săɣi̮t,əj-săɣi̮t,ə j s ɑ ̆ ɣ ɯ t,,DEWbOstj,,,,,əj-săɣi̮t,əj-sɑ̆ɣɯt,10,,"Comp; ""əj"" 'one'"
501-102-3,,501,102,"stav, stave̮n",stav,s t ɑ v,,SyrjWsch,,,,,"stav, stave̮n",stɑv,11,,Latter form used with animate referents
