uralex_mng	lj_rank	leipzig_jakarta	fullbasic	swadesh100	swadesh200	swadesh207	ura100	wold401_500
stab	449	0	1	0	1	1	0	1
stand	45	1	1	1	1	1	1	0
star	97	1	1	1	1	1	0	0
stick	-	0	1	0	1	1	0	0
stinking	457	0	0	0	0	0	0	1
stone	27	1	1	1	1	1	1	0
straight	-	0	1	0	1	1	0	0
stretch	428	0	0	0	0	0	0	1
suck	67	1	1	0	1	1	1	0
summer	470	0	0	0	0	0	0	1
sun	-	0	1	1	1	1	1	0
sweet	89	1	1	0	0	0	0	0
swell	-	0	1	0	1	1	0	0
swim	-	0	1	1	1	1	1	0
tail	84	1	1	1	1	1	1	0
take	71	1	1	0	0	0	0	0
teach	451	0	0	0	0	0	0	1
ten	406	0	0	0	0	0	0	1
testicles	445	0	0	0	0	0	0	1
that	-	0	1	1	1	1	1	0
there	-	0	1	0	1	1	1	0
they	404	0	1	0	1	1	1	1
thick	76	1	1	0	1	1	1	0
thigh	76	1	1	0	0	0	0	0
thin	-	0	1	0	1	1	1	0
think	-	0	1	0	1	1	0	0
this	38	1	1	1	1	1	1	0
three	-	0	1	0	1	1	1	0
throw	-	0	1	0	1	1	1	0
tie	88	1	1	0	1	1	0	0
tired	495	0	0	0	0	0	0	1
tongue	6	1	1	1	1	1	1	0
tooth	28	1	1	1	1	1	0	0
top	488	0	0	0	0	0	0	1
touch	425	0	0	0	0	0	0	1
trap	409	0	0	0	0	0	0	1
tree	80	1	1	1	1	1	1	0
tree_stump	444	0	0	0	0	0	0	1
turn	-	0	1	0	1	1	0	0
turtle	498	0	0	0	0	0	0	1
twist	419	0	0	0	0	0	0	1
two	-	0	1	1	1	1	1	0
uncle	485	0	0	0	0	0	0	1
untie	403	0	0	0	0	0	0	1
vomit	-	0	1	0	1	1	1	0
vulture	487	0	0	0	0	0	0	1
walk	-	0	1	1	1	1	0	0
warm	-	0	1	1	1	1	1	0
wash	-	0	1	0	1	1	0	0
water	4	1	1	1	1	1	0	0
we	-	0	1	1	1	1	1	0
weep	87	1	1	0	0	0	0	0
wet	-	0	1	0	1	1	0	0
what	50	1	1	1	1	1	1	0
when	-	0	1	0	1	1	1	0
where	-	0	1	0	1	1	1	0
whistle	492	0	0	0	0	0	0	1
white	-	0	1	1	1	1	0	0
who	34	1	1	1	1	1	1	0
wide	96	1	1	0	1	1	0	0
wife	437	0	1	0	1	1	0	1
wind	48	1	1	0	1	1	1	0
wing	17	1	1	0	1	1	1	0
wipe	-	0	1	0	1	1	0	0
with	-	0	1	0	1	1	0	0
woman	-	0	1	1	1	1	0	0
woods	-	0	1	0	1	1	0	0
word	415	0	0	0	0	0	0	1
worm	-	0	1	0	1	1	0	0
year	-	0	1	0	1	1	1	0
yellow	-	0	1	1	1	1	0	0
yesterday	41	1	1	0	0	0	1	0
you_pl	-	0	1	0	1	1	1	0
you_sg	9	1	1	1	1	1	1	0
younger_brother	455	0	0	0	0	0	0	1
